Encuesta;Días;Observacion;Elección;Porcentaje;Resultado
AtlasIntel;2;Segunda Vuelta;Boric;51.0;55.87
AtlasIntel;2;Segunda Vuelta;J.A. Kast;49.0;43.13
Cadem;4;Segunda Vuelta;Boric;55.0;55.87
Cadem;4;Segunda Vuelta;J.A. Kast;45.0;43.13
UDD;4;Segunda Vuelta;Boric;54.0;55.87
UDD;4;Segunda Vuelta;J.A. Kast;46.0;43.13
Black & White;6;Segunda Vuelta;Boric;50.0;55.87
Black & White;6;Segunda Vuelta;J.A. Kast;50.0;43.13
Cadem;10;Segunda Vuelta;Boric;52.0;55.87
Cadem;10;Segunda Vuelta;J.A. Kast;48.0;43.13
AtlasIntel;2;Segunda Vuelta;Boric;41.0;55.87
AtlasIntel;2;Segunda Vuelta;J.A. Kast;38.7;43.13
AtlasIntel;2;Segunda Vuelta;No votaría;20.3;0
Activa;19;Segunda Vuelta;Boric;42.2;55.87
Activa;19;Segunda Vuelta;J.A. Kast;28.3;43.13
Activa;19;Segunda Vuelta;No votaría;8.5;0
Activa;19;Segunda Vuelta;NS/NR;0.21;0
Feedback;7;Segunda Vuelta;Boric;53.0;55.87
Feedback;7;Segunda Vuelta;J.A. Kast;47.0;43.13
Cadem;19;Segunda Vuelta;Boric;40.0;55.87
Cadem;19;Segunda Vuelta;J.A. Kast;35.0;43.13
Cadem;19;Segunda Vuelta;No votaría;25.0;0
Data Influye;23;Segunda Vuelta;Boric;47.0;55.87
Data Influye;23;Segunda Vuelta;J.A. Kast;34.0;43.13
Data Influye;23;Segunda Vuelta;No votaría;12.0;0
Data Influye;23;Segunda Vuelta;NS/NR;7.0;0
Criteria;24;Segunda Vuelta;Boric;54.0;55.87
Criteria;24;Segunda Vuelta;J.A. Kast;46.0;43.13
Studio Publico;24;Segunda Vuelta;Boric;45.0;55.87
Studio Publico;24;Segunda Vuelta;J.A. Kast;45.3;43.13
Studio Publico;24;Segunda Vuelta;NS/NR;9.7;0
Black & White;23;Segunda Vuelta;Boric;44.0;55.87
Black & White;23;Segunda Vuelta;J.A. Kast;41.0;43.13
Black & White;23;Segunda Vuelta;No votaría;7.0;0
Black & White;23;Segunda Vuelta;NS/NR;7.0;0
Cadem;25;Segunda Vuelta;Boric;39.0;55.87
Cadem;25;Segunda Vuelta;J.A. Kast;33.0;43.13
Cadem;25;Segunda Vuelta;No votaría;28.0;0
Activa;26;Segunda Vuelta;Boric;53.9;55.87
Activa;26;Segunda Vuelta;J.A. Kast;31.2;43.13
Activa;26;Segunda Vuelta;No votaría;0.2;0
Activa;26;Segunda Vuelta;NS/NR;14.7;0
Activa;26;Segunda Vuelta;Boric;40.4;55.87
Activa;26;Segunda Vuelta;J.A. Kast;24.5;43.13
Activa;26;Segunda Vuelta;No votaría;12.8;0
Activa;26;Segunda Vuelta;NS/NR;22.5;0
Cadem;29;Segunda Vuelta;Boric;39.0;55.87
Cadem;29;Segunda Vuelta;J.A. Kast;39.0;43.13
Cadem;29;Segunda Vuelta;No votaría;22.0;0
Cadem;30;Segunda Vuelta;Boric;37.0;55.87
Cadem;30;Segunda Vuelta;J.A. Kast;33.0;43.13
Cadem;30;Segunda Vuelta;No votaría;30.0;0
AtlasIntel;44;Segunda Vuelta;Boric;36.3;55.87
AtlasIntel;44;Segunda Vuelta;J.A. Kast;40.7;43.13
AtlasIntel;44;Segunda Vuelta;No votaría;23.0;0
Cadem;25;Segunda Vuelta;Boric;40.0;55.87
Cadem;25;Segunda Vuelta;J.A. Kast;44.0;43.13
